Item_Number, UPC_Code, Quantity_NC, Quantity_AZ
GERG2210M1911CA,813393013959,20,11
GERG2210M1911G,813393018435,45,28
GERG2210M1911S,813393013911,81,85
GERG2210M1911T,813393018442,43,46
GERG2210TFF,813393019685,69,1
GERG2210TFFL,819644022060,51,19
GERG2210TFFM,819644027577,99+,75
GERG2210TFFS,819644027065,5,39
GERG2210TFFT,813393019692,7,20
GERGMP409X,853267007851,0,0
ATIG12BDB,819644026037,0,0
ATIG12NMD18,819644021551,0,0
ATIG12NMD23C,819644024392,0,8
ATIG12NMD28,819644021568,0,0
ATIG12SC26PP,819644026839,5,0
ATIG12SC26PW,819644026792,5,0
ATIG15MS410G2,819644029243,0,0
ATIG15MS556MLP3,819644025290,0,0
ATIG20NMD18,819644021575,0,0
ATIG20NMD23C,819644024408,0,0
ATIG20NMD26,819644021582,1,0
ATIG20SC26PP,819644026846,0,0
ATIG410NMD18,819644021599,0,0
ATIG410NMD23C,819644024415,0,0
ATIG410NMD26,819644021605,0,0
ATIGKOF12SVE,813393016134,29,19
ATIGKOF12SVE30,819644027270,3,10
ATIGKOF20SVE,813393016141,17,8
ATIGKOF410SVE,813393016158,2,6
ATIGLOWMS,892756002687,0,69
ATIGOMX55615D,819644024057,0,0
ATIGOMX556FDE15,819644023630,0,10
ATIGOMX556MP3PF,819644025535,0,0
GERGGSG1622,819644021476,0,0
GERGGSG1622G,819644025122,0,0
GERGGSG1622ML,819644025740,0,0
GERGGSG1622S,819644027072,0,0
GERGGSG1622T,819644025139,0,0
ATIM12BD10,819644026273,0,0
ATIM12BD5,819644026679,15,13
ATIM410GA15,813393019043,0,0
ATIM410GA5,813393019036,0,0
GERMFF10,813393019579,70,0
GERMGSG16TP22,819644022862,0,0
GERMM1911,813393012655,21,0
GERMMP40925,813393019722,0,0
ATIARWRENCH2D,819644027348,0,0
ATINSGLOLF,819644023050,10,0
ATIDUOSIGHT,813393011634,0,0
GFT-114,644406904465,0,1
GL-113,644406900283,0,0
GL-119,644406900344,3,0
GL-201,644406903055,1,2
GL-430,644406908746,0,0
GL-433,644406903246,3,2
GL-434,644406903253,2,2
GL-436,644406908807,1,2
GL-5433,644406911395,2,0
GL-816,644406911302,0,2
GL-817,644406911319,0,2
GL-818,644406911326,2,0
GL-819,644406911340,1,0
GL-820,644406911357,0,0
GL-821,644406911364,0,0
GL-822,644406911371,2,0
GL-823,644406911333,1,2
SW-145,644406905998,1,1
SW-443,644406906575,0,1
GL-446,644406906209,6,0
SG-448,644406910190,0,1
51261,4806015512615,0,96
51280,4806015512806,0,0
51283,4806015512837,0,48
51414-ARM,4806015514145,10,7
51416,4806015514169,0,26
51421,4806015514213,0,37
51429,4806015514299,4,3
51431,4806015514312,0,87
51433,4806015514336,0,0
51434,4806015514343,0,10
51447,4806015514473,0,0
51448,4806015514480,0,0
51453-ARM,4806015514534,0,0
51470,4806015514701,7,3
51473,4806015514732,7,2
51479,4806015514794,1,5
51484,4806015514848,0,7
51485,4806015514855,0,13
51486,4806015514862,0,0
51487,4806015514879,2,11
51514,4806015515142,0,99+
51567,4806015515678,0,0
51577,4806015515777,5,10
51615,4806015516156,0,22
51623,4806015516231,2,0
51632,4806015516323,0,13
51656,4806015516569,1,19
51719,4806015517191,7,15
51738,4806015517382,6,1
51814,4806015518143,0,0
51815,4806015518150,0,0
51912,4806015519126,0,0
51914,4806015519140,0,0
51991,4806015519911,11,3
51994,4806015519942,0,2
51996,4806015519966,7,6
52009,4806015520092,0,0
51417,4806015514176,14,29
56418,4806015564188,0,0
56419,4806015564195,0,46
56462,4806015564621,99+,99+
56463,4806015564638,99+,99+
56464,4806015564645,99+,99+
56625,4806015566250,0,15
56639,4806015566397,8,9
56645,4806015566458,0,0
56789,4806015567899,11,0
56790,4806015567905,12,3
56828,4806015568285,0,0
56829,4806015568292,0,0
56862,4806015568629,0,44
56865,4806015568650,0,0
AL22MB,812285026831,0,0
12RSS24,812285026299,0,0
601-BC,812285025834,14,5
AGM5,812285026848,0,0
PA12H18,812285026428,0,0
PA12H28,812285026435,0,10
PA20H26,812285026121,6,3
PA410H26,812285026114,2,10
TM22-A-18,812285026169,99+,8
VR80,868042198037,0,24
VR80-RT,812285025841,2,7
VR80CA,812285025612,0,0
VR82,812285025674,0,0
VRBP100-A,812285025544,0,0
VRF14,812285026374,0,0
VRPA40,812285025605,0,0
10-777,812285021232,0,0
38747,812285021164,18,30
380797,812285021317,0,0
42363,812285024226,71,36
42379,812285024240,33,29
46050,812285023588,9,13
55089,4806015550891,4,8
54169-ARM,4806015541691,0,0
54171,4806015541714,28,10
54172,4806015541721,0,0
54180B,812285021331,43,6
54180,812285021157,0,18
OEMP164015B,812285021270,0,0
OEMTCM225AFC,812285021348,15,72
STK10010,812285026909,8,5
STK10017,812285026923,8,0
ARM-ADJ,,0,0
ACMKIRTGBR,658175121930,0,0
ACMKIRTGCY,658175121947,2,4
ACMUBHCP1,658175119791,2,1
ACMUABL1000,658175115205,2,3
ACMUDCQDM2,658175115281,5,9
ACMUIR85PR,658175112990,0,0
DGBNBN4KLRF,658175115670,3,1
DGWSXS309LTV,658175116424,3,6
DGWSXS3144KP,658175115052,11,4
DGWSXS515LTV,658175116431,4,2
DGWSXS5204KP,658175115069,4,6
TIBNBX4381L,658175115618,1,1
TIBNBX4384L,658175115632,2,1
TIMNODN325X,658175121862,8,10
TIMNOLT136X,658175116585,1,2
TIMNOLT148X,658175116592,4,1
TIMNOLT319X,658175112563,0,1
TIMNOXLT119X,658175120391,24,8
TIMNOXLT125X,658175120407,7,2
TIWST4381A,658175115076,4,4
TIWST4382A,658175115083,5,4
TIWST4384A,658175115090,7,3
TIWST4387A,658175115106,0,1
TIWST4641A,658175115113,3,2
TIWST4642A,658175115120,1,1
TIWST4643A,658175115144,5,2
TIWST4644A,658175115151,2,2
TIWSTLT136X,658175115403,2,6
TIWSTLT148X,658175115410,0,2
TIWSTLT319X,658175116455,2,2
TIWSTLT325X,658175116462,4,2
TIWSTLT335X,658175116479,0,0
TIWSTLT350X,658175112556,6,2
Z2302ATNACMKIRG,,2,1
Z2302ATNACMKIRT,,3,4
Z2302ATNACMUBHC,,1,3
Z2304ATNACMKIRG,,0,0
Z2304ATNACMKIRT,,0,0
Z2310ATNACMKIRT,,0,0
Z2310ATNACMUDCD,,0,0
Z2304ATNACMUDCQ,,0,0
Z2302ATNACMUDC2,,9,7
Z2302ATNACMUDCD,,8,4
Z2302ATNACMUDCM,,2,4
Z2302ATNACMUDCQ,,12,6
Z2302ATNACMUIR8,,13,6
Z2210ATNACMUABL,,1,3
1911BKO,602686251112,0,5
1911BKOC6,602686422246,8,15
1911BKOC7,602686422253,17,13
1911BKOC9,602686422352,0,0
1911GCH,602686421942,12,18
1911TCAC5N,602686422499,3,8
1911TCAC6,602686422536,19,12
1911TCAC6N,602686422420,17,3
AOM130,602686313056,0,0
AOM140,602686313087,0,0
AOM150,602686313094,0,0
MC3010,602686311113,4,5
MC110AS,602686311120,1,2
MC3030,602686430067,0,0
PD10-OC,761862457356,0,0
SD-122751-US,840225709506,0,0
SD-123439-2-US,840225708776,0,0
SD-123378-US,840225707960,0,0
BNT-ADJ,,0,0
BB-18504,,0,0
13273,816715012012,A*,A*
13303-BRT,816715010247,A*,A*
13305,816715010254,A*,A*
13307,816715011398,A*,A*
13316,816715010025,A*,A*
13318,816715010193,A*,A*
14030,816715012647,A*,A*
14031,816715012616,A*,A*
14032,816715012548,A*,A*
18059,810021510064,A*,A*
18062,810021510071,A*,A*
18065,810021510033,A*,A*
18066,810021510415,A*,A*
