



ITEM NO	ITEM_DESC	MSP	MSRP	DEALER PRICE	RETAIL-MAP	sale-price	end-sale	UPC	BRAND	FIREARM-ACTION	ATF-MODEL	CAL/GA
6908	RUG AM-C RFL 243 B SYN	395.00	599.00	395.00	N/A	0.00		736676069088	RUGER	RIFLE	RUGER AMERICAN	243 WIN
6909-RUG	RUG AM-C RFL 7MM-08 B SYN	395.00	599.00	395.00	N/A	0.00		736676069095	RUGER	RIFLE	RUGER AMERICAN	7MM-08 REM
6945-RUG	RUG AM RFL PRED 22-250 G	410.00	619.00	410.00	N/A	0.00		736676069453	RUGER	RIFLE	AMERICAN	22-250 REM
6973-RUG	RUG AM RFL PRED 6.5C GRN 4RD	410.00	619.00	410.00	N/A	410.00	3/31/2023	736676069736	RUGER	RIFLE	RUGER AMERICAN	6.5 CREEDMOOR
6974	RUG AM RFL PRED 308 GRN 4RD	410.00	619.00	410.00	N/A	0.00		736676069743	RUGER	RIFLE	RUGER AMERICAN	308 WIN
70200	SAV B22F 22LR BA 10RD SYN	249.99	329.00	249.99	N/A	0.00		062654702006	SAVAGE ARMS	RIFLE	B22F	22LR
70201	SAV B22FV 22LR BA 10RD SYN	274.99	359.00	274.99	N/A	0.00		062654702013	SAVAGE ARMS	RIFLE	B22FV	22LR
70203	SAV B22FV-SR BA RFL 22LR 10RD	284.99	369.00	284.99	N/A	0.00		062654702037	SAVAGE ARMS	RIFLE	B22	22LR
70248	SAV B22 PREC 22LR BA 10RD TB	524.99	679.00	524.99	N/A	0.00		062654702488	SAVAGE ARMS	RIFLE	B22	22LR
70249	SAV B22 BNS-SR 22LR BA 10RD TB	419.99	549.00	419.99	N/A	0.00		062654702495	SAVAGE ARMS, INC	RIFLE	SAVAGE B22 CAL .22 LR ONLY	22LR
70256	SAV B22 PREC LITE 22LR BA 10RD	759.99	979.00	759.99	N/A	0.00		062654702563	SAVAGE ARMS	RIFLE	B22	22LR
70500	SAV B22MF BA RFL 22M 10RD	269.99	349.00	269.99	N/A	0.00		062654705007	SAVAGE ARMS	RIFLE	SAVAGE MODEL B22	MAGNUM CAL .22 E.M.R. ONLY
70501-SAV	SAV B22MFV BA RFL 22M 10RD	294.99	389.00	294.99	N/A	0.00		062654705014	SAVAGE ARMS	RIFLE	SAVAGE MODEL B22	MAGNUM V CAL. 22 W.M.R. ONLY
70502-SAV	SAV B22MFVSS BA RFL 22M 10RD	354.99	459.00	354.99	N/A	0.00		062654705021	SAVAGE ARMS	RIFLE	B22 MAGNUM	22M
70503	SAV B22MFVSR BA RFL 22M 10RD	306.99	399.00	306.99	N/A	0.00		062654705038	SAVAGE ARMS	RIFLE	SAVAGE MODEL B22	MAGNUM CAL .22 WMR ONLY
70548	SAV B22M PREC 22M BA 10RD 18TB	524.99	679.00	524.99	N/A	0.00		062654705489	SAVAGE ARMS	RIFLE	MODEL 110	30-06
70549	SAV B22M BNS-SR 22M 10R 18TB	439.99	569.00	439.99	N/A	0.00		062654705496	SAVAGE ARMS, INC	RIFLE	SAVAGE B22 MAGNUM CAL.22 W.M.R	22M
70556	SAV B22M PREC LITE 22M BA 18TB	759.99	979.00	759.99	N/A	0.00		062654705564	SAVAGE ARMS	RIFLE	B22	22M
70800-SAV	SAV B17F 17HMR BA RFL 10RD	269.99	359.00	269.99	N/A	0.00		062654708008	SAVAGE ARMS	RIFLE	MODEL B17	17HMR
70801-SAV	SAV B17FV 17HMR BA RFL 10RD	294.99	389.00	294.99	N/A	0.00		062654708015	SAVAGE ARMS	RIFLE	SAVAGE MODEL B17	V CAL .17 H.M.R. ONLY
70802-SAV	SAV B17FVSS 17HMR BA RFL 10RD	354.99	459.00	354.99	N/A	0.00		062654708022	SAVAGE ARMS	RIFLE	MODEL B17	17HMR
70803-SAV	SAV B17FVSR 17HMR BA RFL 10RD	306.99	399.00	306.99	N/A	0.00		062654708039	SAVAGE ARMS	RIFLE	SAVAGE MODEL B17	V CAL. .17 H.M.R. ONLY
70848	SAV B17 PREC 17HMR BA 10RD TB	524.99	679.00	524.99	N/A	0.00		062654708480	SAVAGE ARMS	RIFLE	B17	17HMR
70849	SAV B17 BNS-SR 17HMR BA 10R TB	439.99	569.00	439.99	N/A	0.00		062654708497	SAVAGE ARMS, INC	RIFLE	SAVAGE B17 CAL .17 H.M.R. ONLY	17HMR
70856	SAV B17 PREC LITE 17HMR BA 10R	759.99	979.00	759.99	N/A	0.00		062654708565	SAVAGE ARMS	RIFLE	B17	17HMR
710203	BLU ISSC RAPTOR 22LR 4TB 10R	224.99	249.99	224.99	N/A	0.00		689585854729	BLUE LINE SOLUTIONS/ISSC	PISTOL	RAPTOR	22LR
7219	RUG 77/17 17WSM BA RFL LAM TB	893.00	1349.00	893.00	N/A	0.00		736676072194	RUGER	RIFLE	77/17	17 WSM
7220	RUG 77/17 17H BA RFL LAM TB	893.00	1349.00	893.00	N/A	0.00		736676072200	RUGER	RIFLE	77/17	17 HORNET
7222	RUG 77/17 17WSM BA RFL WAL TB	823.00	1239.00	823.00	N/A	0.00		736676072224	RUGER	RIFLE	77/17	17 WSM
72224	CHT PATHFINDER 22LR DA REV 2SS	324.99	413.00	324.99	N/A	0.00		678958722246	CHARTER ARMS	REVOLVER	PATHFINDER	22LR
72242	CHT PATHFNDR 22LR DA REV 4.2SS	344.99	434.00	344.99	N/A	0.00		678958722420	CHARTER ARMS	REVOLVER	TARGET PATHFINDER	22LR
72243	CHT PATHFNDR 22LR DA 4.2SS RW	379.99	476.00	379.99	N/A	0.00		678958722437	CHARTER ARMS	REVOLVER	PATHFINDER	22LR
7225	RUG 77/17 22H BA RFL WAL TB	823.00	1239.00	823.00	N/A	0.00		736676072255	RUGER	RIFLE	77/17	22 HORNET
7226	RUG 77/22 22H BA RFL LAM TB	893.00	1349.00	893.00	N/A	0.00		736676072262	RUGER	RIFLE	77/17	22 HORNET
72324	CHT PATHFINDER 22M DA REV 2SS	324.99	413.00	324.99	N/A	0.00		678958723243	CHARTER ARMS	REVOLVER	PATHFINDER	22M
72342	CHT PATHFINDR 22M DA REV 4.2SS	344.99	434.00	344.99	N/A	0.00		678958723427	CHARTER ARMS	REVOLVER	TARGET PATHFINDER	22M
73220	CHT UNDERCOVR 32H&R DA REV 2SS	324.99	410.20	324.99	N/A	0.00		678958732207	CHARTER ARMS	REVOLVER	UNDERCOVERETTE	32H&R MAGNUM
73520	CHT MAG PUG 357 DA REV 2.2SS	339.99	427.00	339.99	N/A	0.00		678958735208	CHARTER ARMS	REVOLVER	MAG PUG	357 MAG
73521	CHT MAG PUG 357 DAO REV 2.2SS	339.99	427.00	339.99	N/A	0.00		678958735215	CHARTER ARMS	REVOLVER	PUG	357 MAG
73542	CHT MAG PUG 357 DA REV 4.2SS	379.99	476.00	379.99	N/A	0.00		678958735420	CHARTER ARMS	REVOLVER	TARGET BULLDOG	357
73802	CHT PITBULL 380 DA REV 3SS	354.99	448.00	354.99	N/A	0.00		678958738025	CHARTER ARMS	REVOLVER	PUTBULL	380
73820	CHT UNDR COVER 38SP DA REV 2SS	299.99	378.00	299.99	N/A	0.00		678958738209	CHARTER ARMS	REVOLVER	UNDERCOVER	38SP
73829	CHT UNDERCOVER 38SP DA REV 2SS	324.99	413.00	324.99	N/A	0.00		678958738292	CHARTER ARMS	REVOLVER	UNDERCOVER	38SP
74020	CHT PITBULL 40SW DA REV 2.3SS	384.99	483.00	384.99	N/A	0.00		678958740202	CHARTER ARMS	REVOLVER	PITBULL	40SW
7416-RUG	RUG 77/44 44M BA RFL B WAL TB	823.00	1239.00	823.00	N/A	0.00		736676074167	RUGER	RIFLE	77/44	44M
7417	RUG 77/44 44M BA RFL SS SYN TB	823.00	1239.00	823.00	N/A	0.00		736676074174	RUGER	RIFLE	77/44	44M
7419	RUG 77/357 357 BA RFL SS TB	823.00	1239.00	823.00	N/A	0.00		736676074198	RUGER	RIFLE	77/357	357
74420	CHT BULLDOG 44SP DA REV 2.5SS	359.99	453.60	359.99	N/A	0.00		678958744200	CHARTER ARMS	REVOLVER	BULLDOG	44SP
74421	CHT BULLDOG 44SP DAO REV 2.5SS	359.99	453.60	359.99	N/A	0.00		678958744217	CHARTER ARMS	REVOLVER	BULLDOG	44SP
74429	CHT BDOG BOOMER 44SP DAO 2SS	354.99	452.20	354.99	N/A	0.00		678958744293	CHARTER ARMS	REVOLVER	BULLDOG	44SP
74442	CHT BULLDOG 44SP DA REV 4.2SS	384.99	483.00	384.99	N/A	0.00		678958744422	CHARTER ARMS	REVOLVER	TARGET BULLDOG	44SP
74520	CHT PITBULL 45AP DA REV 2.3SS	399.99	504.00	399.99	N/A	0.00		678958745207	CHARTER ARMS	REVOLVER	PITBULL	45AP
75470	MII SIL RES OU 12M/28MC SYN FO	549.99	756.00	549.99	N/A	0.00		884110754707	MOSSBERG INTERNATIONAL, INC	SHOTGUN	SILVER RESERVE	12 GAUGE
75471	MII SIL RES OU 12M/28MC SIL WA	594.99	820.00	594.99	N/A	0.00		884110754714	MOSSBERG INTERNATIONAL	SHOTGUN	SILVER RESERVE	12 GAUGE
75472	MII GLD RES OU 12M/30MC SIL WA	824.99	1135.00	824.99	N/A	0.00		884110754721	MOSSBERG INTERNATIONAL	SHOTGUN	GOLD RESERVE	12 GAUGE
75473	MII GLD RES BL 12M/30MC BLK WA	824.99	1135.00	824.99	N/A	0.00		884110754738	MOSSBERG INTERNATIONAL	SHOTGUN	GOLD RESERVE	12 GAUGE
75474	MII GLD RES SS 12M/30MC SIL WA	1024.99	1408.00	1024.99	N/A	0.00		884110754745	MOSSBERG INTERNATIONAL	SHOTGUN	GOLD RESERVE	12 GAUGE
75475	MII SIL RES OU 20M/26MC SIL WA	594.99	820.00	594.99	N/A	0.00		884110754752	MOSSBERG INTERNATIONAL, INC	SHOTGUN	SILVER RESERVE	20 GAUGE
